"IFRS17_group_IF_InsCLS_LIYC","CoverageUnits","CurrRA","CurrInitComm","CurrInitExp","CurrPrems","FutPrems","PvPrems","CurrClaimsandExp","FutExpClaimsExp","CSM_LC_released_reversal","Interest_Accreted_IF","Interest_accBEL","Interest_accRA","RA","BEL","ClaimsandExp","TotPVClaims","TotPVComm","TotPVAcq","TotPVPrem","TotPVInitExp","TotBELinf","TotBELout","TotPVRenExpenses","TotPVRenComm"
"2017_Non-onerous_202",0.0618631077509875,60958.5011222545,227385.78660332,0,3502202.60861177,28645980.9142303,26650558.3603766,1015975.01870424,10358584.9290537,584689.399800999,606511.885393707,34390.5288985723,34390.5288985723,535911.437633024,17718701.0664928,1015975.01870424,7731447.44678738,1200409.84709636,0,26650558.3603766,0,26650558.3603766,-8931857.29388373,753184.49468509,81140.655402339
"2017_ODD_202",NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017_Onerous_202",0.0519882592119701,9705.80943712463,64844.4134446201,0,711080.54067673,6829984.37380361,5978547.55901938,161763.490618744,1698408.27856769,183488.026064309,226489.608938999,5426.0858175434,5426.0858175434,84555.2989247736,4569292.57693982,161763.490618744,955324.505870115,453930.476209444,0,5978547.55901938,0,5978547.55901938,-1409254.98207956,726951.540414232,48786.7632054954
"2017_Remaining_202",0.0470782228019531,6941.06230956004,35687.5485084069,0,387906.189623672,3915380.04532935,3399954.48431545,115684.371826001,1358213.6405923,67402.7448442434,91876.269230193,4132.61888152067,4132.61888152067,64399.0597677916,2326636.82151893,115684.371826001,830519.637475483,242798.025321044,0,3399954.48431545,0,3399954.48431545,-1073317.66279653,236341.370537172,51763.2835734341
"2018_Non-onerous_202",0.0626576019972804,530996.213465265,2004018.48013843,0,28548199.5456167,233810347.693828,216550753.964986,8849936.89108776,87561055.0187107,4425340.95684031,4561911.1430171,297039.224016742,297039.224016742,4598751.55057226,139904894.788781,8849936.89108776,64678784.1344822,11967075.0417222,0,216550753.964986,0,216550753.964986,-76645859.1762044,6291891.92295256,1679171.04999438
"2018_ODD_202",0.0943857951864592,269.321001307029,1592.63548266934,0,14251.4405452827,97569.9917284244,93742.1649279598,4488.68335511715,30521.4574433222,4158.16533364575,2845.5680029307,112.256469305057,112.256469305057,1737.95098606001,64776.3151602931,4488.68335511715,18983.3734266179,9982.47634104888,0,93742.1649279598,0,93742.1649279598,-28965.8497676668,4371.64397093144,0
"2018_Onerous_202",0.055926115995093,92101.0702028417,554375.079569225,0,5985737.11941416,54741730.9479104,48841346.2333891,1535017.83671403,15013851.2440193,1444618.87261851,1668447.24632626,50795.9095596891,50795.9095596891,786420.61035408,35734336.0608211,1535017.83671403,9117069.75495569,3989940.4176123,0,48841346.2333891,0,48841346.2333891,-13107010.172568,5692382.23097776,535560.209940146
"2018_Remaining_202",0.0557118270436936,33441.0262191515,197158.575326877,0,2170941.96668978,19771982.2479945,17728355.9310624,557350.436985858,5509605.63037076,513775.911278671,595662.406108312,18568.408547627,18568.408547627,287475.493792853,12937097.7011815,557350.436985858,3427596.31913828,1363661.9107426,0,17728355.9310624,0,17728355.9310624,-4791258.22988087,1133548.96540496,235410.457394953
"2019_Non-onerous_202",0.0661686577743,442348.601022313,1491358.9186115,0,23826556.4032919,184281900.589705,172227303.644356,7372476.68370522,73325950.3940091,3189938.80158406,2801803.17886394,223735.551897285,223735.551897285,3849704.56514258,108065560.89198,7372476.68370522,56006645.0645372,8155097.68783915,0,172227303.644356,0,172227303.644356,-64161742.7523764,3189305.45724011,1130064.90309553
"2019_ODD_202",NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019_Onerous_202",0.0561461300448093,331668.289897693,1658922.48327462,0,18933452.617849,168988784.948343,151611567.018359,5527804.83162821,55186464.7970537,3595447.66376473,3721694.68061015,167990.097027355,167990.097027355,2890520.69704976,103436222.06753,5527804.83162821,36508381.9524678,11666962.9983616,0,151611567.018359,0,151611567.018359,-48175344.9508294,12517531.2236755,1865083.60225984
"2019_Remaining_202",0.0571669054466093,60621.8852502865,285387.526035866,0,3093233.93069131,27666323.1401535,24880467.2409639,1010364.75417144,10144743.7883448,488209.35978733,496328.272978404,30805.6199324371,30805.6199324371,530056.732961221,16046188.3582769,1010364.75417144,6976061.87738628,1858217.00530074,0,24880467.2409639,0,24880467.2409639,-8834278.88268701,790649.453545878,179580.793457753
"2020_Non-onerous_202",0.0602540003862928,577773.748490132,2043414.08474056,0,30009110.371871,223159039.795676,227181123.445356,9629562.47483553,81612834.8816802,4144695.92259865,2206107.89401087,159310.54713565,159310.54713565,4967347.79213855,144391993.57638,9629562.47483553,70637579.431357,12151550.4376188,0,227181123.445356,0,227181123.445356,-82789129.8689758,4299034.89320064,2666484.19987095
"2020_ODD_202",0.057466277226878,103.184482020116,813.967251754907,0,6390.90494911394,57011.5218733265,57218.8449260818,1719.74136700193,15506.5192087237,1760.82021058917,982.702161801093,30.3115646140862,30.3115646140862,945.123133836455,41466.7926954743,1719.74136700193,9880.7389922638,5871.31323834378,0,57218.8449260818,0,57218.8449260818,-15752.0522306076,6269.3444438268,0
"2020_Onerous_202",0.0562284443757426,345301.109547043,1613127.15474871,0,18177213.7334892,142034937.779398,144873200.922185,5755018.49245072,48903083.7573937,3016892.66722932,1720773.66815433,95946.6068008256,95946.6068008256,2991642.26113322,95012496.5699651,5755018.49245072,38366646.0033494,11494058.3488709,0,144873200.922185,0,144873200.922185,-49860704.3522204,13730668.1209763,1559685.41960315
"2020_Remaining_202",0.0599840605190575,74128.7756658723,278949.975562399,0,3413165.69662543,26707037.0489066,27127991.5059944,1235479.59443121,10923051.3444977,373729.679754016,199821.257712623,21252.2128345022,21252.2128345022,662649.990220889,16083825.0023129,1235479.59443121,9190691.83839496,1853474.66528653,0,27127991.5059944,0,27127991.5059944,-11044166.5036815,1048198.36062715,392153.793643704
"2021_Non-onerous_202",0.0614986542307924,697811.271078711,2245752.17730949,0,33141089.1997623,265138031.697607,256581213.885428,11630187.8513118,111647849.779542,3364523.04230539,2399564.95350034,274651.240171716,274651.240171716,6261911.83742977,152216016.594932,11630187.8513118,91245215.8494781,13119981.4410181,0,256581213.885428,0,256581213.885428,-104365197.290496,4502639.22967254,1659149.21816691
"2021_ODD_202",NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021_Onerous_202",0.0562096493619002,374641.764986063,1606433.92886502,0,18433250.7083392,155040933.579002,147961276.586182,6244029.41643439,59015970.5692847,2590788.21507564,2021601.9708354,144562.674305815,144562.674305815,3295957.15977877,93028657.2565354,6244029.41643439,43641179.432838,11291439.8968082,0,147961276.586182,0,147961276.586182,-54932619.3296462,13571960.943767,1362729.60749515
"2021_Remaining_202",0.0585250868751062,71520.3978020337,287835.923996826,0,3309574.3943271,27678944.641566,26499055.1768571,1192006.63003389,11011768.526242,423705.789059763,317538.907546501,27112.4157539348,27112.4157539348,618149.610556048,16196561.6675896,1192006.63003389,8338682.70876349,1963810.80050398,0,26499055.1768571,0,26499055.1768571,-10302493.5092675,944749.815910652,182084.400083793
"2022_Non-onerous_202",0.0622810494346253,725754.077271716,2378956.43509952,0,33690577.7804235,243285506.4918,260991447.110743,12095901.2878619,104166419.425255,3229276.98100843,3142976.12232561,394529.548933199,394529.548933199,6508603.70923737,152514718.623454,12095901.2878619,94156041.5721136,14320686.9151759,0,260991447.110743,0,260991447.110743,-108476728.48729,3716578.69308686,1403241.74762635
"2022_ODD_202",0.0464323216807908,39.2463372905786,268.55815285188,0,2451.72644210773,23061.6532355821,23324.0907248844,654.105621509643,6064.8692500965,627.371302962174,819.022733342584,22.4648021598358,22.4648021598358,370.604673490623,17147.3461667073,654.105621509643,3265.22020261276,2911.52435556429,0,23324.0907248844,0,23324.0907248844,-6176.74455817705,6573.50254696788,0
"2022_Onerous_202",0.0554468916900814,361697.867492199,1602671.56849091,0,18050839.2818989,135802106.509532,144121571.570112,6028297.79153665,51426256.777099,2543498.48286253,2780647.8028264,194110.335303071,194110.335303071,3202262.67404065,90750527.0027678,6028297.79153665,41675566.9541054,11695477.6132388,0,144121571.570112,0,144121571.570112,-53371044.5673442,10739121.6647544,1160727.63222608
"2022_Remaining_202",0.0553146265429462,63120.4892916214,271777.096314682,0,3204782.33439446,24409742.3612471,25887269.9646097,1052008.15486036,9481794.36856654,424021.103407867,464664.178856531,35433.9781081596,35433.9781081596,584558.804204682,16144623.227865,1052008.15486036,7894440.88232339,1848205.85442132,0,25887269.9646097,0,25887269.9646097,-9742646.7367447,795609.343713495,255899.171175993
"2023_Non-onerous_202",0.0708049880454777,673934.618038354,2033905.93087362,0,37597030.6695744,224171783.617628,259738751.636436,11232243.6339726,84968582.408802,5431937.03551742,5893596.47547818,440506.10047745,440506.10047745,5734062.25090127,164171047.454748,11232243.6339726,81720115.5953309,13847588.5863569,0,259738751.636436,0,259738751.636436,-95567704.1816878,5784664.1395724,2841507.97174472
"2023_ODD_202",0.0662336044890435,137208.481875104,515336.652728332,0,7536363.63881765,47321943.305057,54452718.7450354,2286808.03125173,16922020.6866689,1227217.27999966,1423418.46455619,88059.0289027637,88059.0289027637,1146263.24796655,35348331.2789262,2286808.03125173,15673448.1639453,3430939.30216394,0,54452718.7450354,0,54452718.7450354,-19104387.4661092,2409669.26585434,492525.919281247
"2023_Onerous_202",0.0616344795886012,239036.460924185,1007198.02833236,0,14185251.024149,91807973.6446718,105223100.392613,3983941.01540309,30395261.9618802,2644402.09359555,3296046.14109197,157430.39250793,157430.39250793,2049269.39682758,71068610.4454871,3983941.01540309,26114750.7731117,8039739.17401472,0,105223100.392613,0,105223100.392613,-34154489.9471264,12449005.9474767,976637.924808091
"2023_Remaining_202",0.0639978717863223,40448.0429179707,164633.459074754,0,2351750.96630026,15281442.1387787,17505525.7981999,674134.048632845,5203492.02729598,430400.751717517,516650.689047435,26917.3003097329,26917.3003097329,350382.152335512,11665823.2592747,674134.048632845,4590205.72482291,1249496.81410229,0,17505525.7981999,0,17505525.7981999,-5839702.5389252,868468.989150901,161166.208186093
"2024_NB_Non-onerous_202",0.0668767641570098,546196.929334661,4296493.09085128,0,20112197.9260678,125496628.476874,144518086.696963,9103282.15557769,46670316.706418,2772397.01789347,3184708.56041586,254745.796450163,254745.796450163,3316022.75976978,89251040.7008001,9103282.15557769,44479707.5228321,10787338.4733309,0,144518086.696963,0,144518086.696963,-55267045.996163,4692976.34589631,1260838.60034812
"2024_NB_Onerous_202",0.0635682508130634,1582985.2658159,12334324.3153505,0,48943860.2854158,302078865.16151,348375234.804037,26383087.7635984,107873357.351869,6956632.11101611,8407140.38749665,612114.162324361,612114.162324361,7967882.18737925,215577198.347717,26383087.7635984,98173677.7396159,34624358.7167049,0,348375234.804037,0,348375234.804037,-132798036.456321,36803739.8785771,3216822.54696258
"2024_NB_Remaining_202",0.0714229137267538,168541.80812063,883043.193219495,0,4021705.88854131,23294964.453836,27100159.841948,2809030.13534383,9127605.16373086,375574.877190191,403969.423205425,54327.2640484911,54327.2640484911,707177.298197589,15313871.5386549,2809030.13534383,9348229.44823326,2438058.85505989,0,27100159.841948,0,27100159.841948,-11786288.3032931,1491529.55369113,335201.091789085
"2024_Non-onerous_202",0.0685928605567931,101841.949245566,753953.710413294,0,3596994.82258447,22108445.1579463,25510582.6921318,1697365.82075943,8274095.04392945,483975.502635996,542043.309815933,45529.325428242,45529.325428242,592654.644201565,15633005.2887723,1697365.82075943,7984579.84412023,1892997.55923918,0,25510582.6921318,0,25510582.6921318,-9877577.40335942,836567.945118025,232292.929560971
"2024_ODD_202",NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024_Onerous_202",0.063579290592503,1557637.95158538,12109192.8553542,0,48068710.9661222,296588315.358329,342056936.293919,25960632.526423,105931982.491779,6822422.02740206,8243514.89170236,601327.565547317,601327.565547317,7827473.19570376,211599049.698857,25960632.526423,96465849.0591519,33992037.5359107,0,342056936.293919,0,342056936.293919,-130457886.595063,36131436.6978269,3160214.6712257
"2024_Remaining_202",0.0649662269422537,661897.100542275,5199126.74728308,0,21282364.968627,134098289.083335,154228091.214354,11031618.3423712,49103796.9645342,2985901.47075824,3530834.4197844,274373.176099492,274373.176099492,3571512.10851964,94702889.4056933,11031618.3423712,45170551.0141218,14354650.7945389,0,154228091.214354,0,154228091.214354,-59525201.8086607,8324127.40708026,1583197.56119986
"Total",NA,10570672.3207725,58147940.3010092,0,456308239.651733,3254334988.37084,3407976477.82051,176177872.012875,1212868510.80309,NA,65470991.5027281,4735288.74885767,4735288.74885767,75986632.2055342,2141532607.72828,176177872.012875,1021131119.58373,245312750.508505,0,3407976477.82051,0,3407976477.82051,-1266443870.09224,194489748.386348,30709122.3333224
