"IFRS17_group_IF_InsCLS_CYC","CurrRA","CurrInitComm","CurrInitExp","PVRenExp","CurrPremCFS","FutExpPremiums","CurrClaimsandExps","FutExpClaimsExp","CoverageUnits","CSM_LC_released_reversal","Interest_Accreted_IF","RA","BEL","ClaimsandExp","TotPVClaims","TotPVComm","TotPVAcq","TotPVPrem","TotPVInitExp","TotBELinf","TotBELout","TotPVRenExpenses","TotCurrClaimsonly","TotCurrRenExp","TotPVExpenses","TotPVRenComm"
"2017_Non-onerous_202",62076.2970276312,217113.094643745,0,794931.376343427,3519500.39176981,22973032.7314664,1034604.95046052,10409219.8824322,0.0629436508383536,1087721.6458405,566962.418085246,525967.484329322,17280879.5065588,9020189.38717738,7904629.710041,1115559.67713638,0,26301068.8937362,0,26301068.8937362,9020189.38717738,781186.861626425,817491.855816775,217113.094643745,861495.028781035,80308.16715461
"2017_ODD_202",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017_Onerous_202",9821.11291378405,64372.771685593,0,815697.182166739,713404.033679483,5318192.79570928,163685.215229734,1712087.00065773,0.0523766873660005,239330.828588347,225027.589245647,107671.10819967,4569415.14677968,1423385.63674555,977382.051955268,446003.584790278,0,5992800.78352522,0,5992800.78352522,1423385.63674555,767413.771758462,99312.4435441411,64372.771685593,817136.418039229,49722.6462807662
"2017_Remaining_202",7078.10932573578,35467.3466609844,0,262701.515859106,392505.324127556,3056025.16545671,117968.488762263,1379977.77941627,0.0474283500705133,110757.716110618,90817.0087758755,69379.8520845934,2335263.9496409,1091886.78384965,854539.191832322,237347.592017327,0,3427150.73349055,0,3427150.73349055,1091886.78384965,249622.272437645,82501.1421012785,35467.3466609844,301791.676244235,52169.4038065897
"2018_Non-onerous_202",537058.722499524,1931388.21827281,0,6544926.68687777,28482557.7922024,186754727.849214,8950978.7083254,87888253.2813511,0.063490270304077,8669827.1828729,4269284.56096058,4440678.39472403,136553634.775062,77129951.9145658,65828913.7285352,11301038.1860306,0,213683586.689627,0,213683586.689627,77129951.9145658,6520575.67221318,7019590.49005259,1931388.21827281,8182392.85019873,1661817.17798554
"2018_ODD_202",255.028171398457,1531.26770499047,0,4420.7704714647,13681.6271793139,77337.2230847992,4250.46952330761,29541.9991280898,0.0947656932619954,5909.23243576043,2738.60866966178,1359.88132689816,62356.2412974005,27924.9542832252,18281.6941920008,9643.26009122435,0,90281.1955806257,0,90281.1955806257,27924.9542832252,4382.99458963521,2719.20181831714,1531.26770499047,4382.99458963521,0
"2018_Onerous_202",92704.7285481028,547532.689879725,0,6001509.38562584,5970791.64830938,43103022.1540129,1545078.80913505,15067357.2418968,0.0562978153309939,2003197.05712436,1649207.24620223,946504.267925473,35582145.5121639,13165918.3374279,9259217.76901899,3906700.5684089,0,48748063.8495918,0,48748063.8495918,13165918.3374279,5982158.04102371,997546.119255321,547532.689879725,6515853.36307223,533695.322048518
"2018_Remaining_202",33563.7257988097,194615.587517799,0,1194162.9497712,2172327.92781499,15641084.7349756,559395.429980162,5536732.72364589,0.0560225531772703,721378.865334203,587476.350460505,295197.406182875,12876579.5991405,4818355.75675422,3492188.611272,1326167.14548222,0,17694935.3558947,0,17694935.3558947,4818355.75675422,1190821.37421362,364779.842462363,194615.587517799,1427768.15844258,236946.784228957
"2019_Non-onerous_202",447715.673322862,1420379.75328046,0,3297685.12152793,23726572.9142516,146124466.482003,7461927.88871436,73694164.7207974,0.0671877095569196,6983675.0705078,2499363.90422867,3687419.96069321,103942746.620815,64615250.8078895,57060540.0553321,7554710.75255748,0,168557997.428704,0,168557997.428704,64615250.8078895,3284442.76338846,6041548.1354339,1420379.75328046,4396459.28955474,1112016.52616628
"2019_ODD_202",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019_Onerous_202",334645.70587952,1632593.27094034,0,13181971.7346124,18879163.1847374,133041322.244397,5577428.43132534,55534879.111777,0.0564734933243644,5781203.8815525,3621238.92975853,3129050.73046978,102370219.039705,48520605.8571748,37150154.6046466,11370451.2525283,0,150890824.896879,0,150890824.896879,48520605.8571748,13138061.1858168,3944835.160385,1632593.27094034,15000690.903183,1862629.71736621
"2019_Remaining_202",61161.615838292,278762.663694891,0,827430.819196834,3097270.24277682,21849251.4742284,1019360.26397153,10215776.2535856,0.0575960376969678,914290.446028957,477962.621884585,487363.862788906,15874190.0065999,8903450.55278666,7115921.70184122,1787528.85094544,0,24777640.5593865,0,24777640.5593865,8903450.55278666,824958.937989818,740597.600276643,278762.663694891,1006809.34464054,181850.406650725
"2020_Non-onerous_202",582437.510890905,1961680.4972059,0,4468251.19292833,29749684.0634032,195975245.086946,9707291.84818174,82075101.1862221,0.0606699208017167,8547111.64707934,2056388.46480922,4731596.9416952,140878899.034882,83223631.5426642,71766708.8192851,11456922.7233791,0,224102530.577546,0,224102530.577546,83223631.5426642,4451638.04592262,7745611.35097584,1961680.4972059,7093240.20896831,2641602.16304569
"2020_ODD_202",104.537379447295,810.444173877331,0,6641.35169675563,6519.75058558418,51676.4919880975,1742.28965745492,15797.0249908328,0.0585312751454738,2447.99734732806,982.620578061014,1011.20132104883,41823.7487777911,16016.728280096,10224.3583156372,5792.36996445882,0,57840.4770578872,0,57840.4770578872,16016.728280096,6628.9970351766,931.845483577589,810.444173877331,6628.9970351766,0
"2020_Onerous_202",347613.976685379,1584517.89523468,0,14452946.3843075,18017192.0192418,127060236.886094,5793566.27808965,49228373.4636343,0.0564449855103735,5301523.72918117,1666532.51610548,3294418.22723972,93923732.6619006,50171401.9155273,38950494.6607151,11220907.2548122,0,144095134.577428,0,144095134.577428,50171401.9155273,14401130.520159,4209048.38285497,1584517.89523468,15956475.7932803,1555345.27312136
"2020_Remaining_202",75053.0296322871,272856.597419853,0,1098704.85288068,3403869.04660651,23746854.751854,1250883.82720478,11049235.3777039,0.0604606807091061,955630.955075901,184767.385486024,651438.053237374,15805825.2713647,11159325.3113541,9375166.56085335,1784158.75050073,0,26965150.5827188,0,26965150.5827188,11159325.3113541,1095361.8780644,978027.229784931,272856.597419853,1482134.32643622,386772.448371823
"2021_Non-onerous_202",707979.738409246,2160229.12523662,0,4693027.80741816,32945745.8942139,222881159.843879,11799662.3068208,112721716.608714,0.0621099485752087,9222258.51980823,2146927.51561277,5972294.86722177,148482791.104569,105547379.869289,93201067.4855345,12346312.3837549,0,254030170.973858,0,254030170.973858,105547379.869289,4676616.10149483,9639433.18158414,2160229.12523662,6337180.30149495,1660564.20000011
"2021_ODD_202",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021_Onerous_202",376653.604171405,1578320.85603686,0,14306837.4493506,18251268.0507765,130065355.276918,6277560.06952341,59521621.6375581,0.0563490959897373,5178936.31867058,1937942.99157427,3600321.05605535,91908063.9663466,55413396.3389843,44399122.6899748,11014273.6490094,0,147321460.305331,0,147321460.305331,55413396.3389843,14252804.5065902,4699239.21348655,1578320.85603686,15606228.244281,1353423.73769078
"2021_Remaining_202",71932.9460483166,282792.253383795,0,990386.451685152,3293597.82155712,23259466.6435627,1198882.43413861,11074107.4907379,0.0587959089356286,941153.519582664,303682.638007883,577552.017568715,16007125.9483898,10366151.7040836,8461343.55997677,1904808.14410688,0,26373277.6524735,0,26373277.6524735,10366151.7040836,987039.43983389,916090.180754816,282792.253383795,1164523.39950182,177483.959667932
"2022_Non-onerous_202",747180.674742604,2315503.27025201,0,3879549.80676621,33475851.0318159,226762762.831626,12453011.2457101,104968101.214986,0.0627397627969963,9334333.27657773,2793869.18566589,6081868.72427562,148778587.30165,109634546.802327,96109702.2992939,13524844.5030334,0,258413134.103977,0,258413134.103977,109634546.802327,3866683.42851985,10137507.9754581,2315503.27025201,5254776.43863306,1388093.01011321
"2022_ODD_202",39.0972612971799,272.71518219946,0,7106.33299209109,2471.37565530108,21407.3226453118,651.621021619666,6166.21974857969,0.0468157296314322,818.356068065144,838.323034573925,616.416027783604,17480.3655631952,6264.94247419982,3274.5482214319,2990.39425276791,0,23745.3080373951,0,23745.3080373951,6264.94247419982,6999.05224162816,378.905839420206,272.71518219946,6999.05224162816,0
"2022_Onerous_202",367271.371255939,1592148.02108051,0,11332544.0090125,17881494.9740897,126468106.286117,6121189.52093232,51837311.1171163,0.0554033794995238,4959952.87661304,2660902.5737954,3290533.38863182,89524374.1702737,53850260.5038447,42396113.305678,11454147.1981666,0,143374634.674118,0,143374634.674118,53850260.5038447,11290182.662373,4529041.49985181,1592148.02108051,12446109.8381857,1155927.17581267
"2022_Remaining_202",64969.4482574157,269010.243339448,0,837197.798327514,3193777.10752234,22780658.630595,1082824.1376236,9604056.97297879,0.0554885018973817,882980.712159841,437713.546451104,551391.200655068,15912859.0963366,9887208.35593383,8098611.03424888,1788597.32168495,0,25800067.4522705,0,25800067.4522705,9887208.35593383,834483.036363663,813813.894284147,269010.243339448,1091242.31000225,256759.273638588
"2023_Non-onerous_202",688490.909912877,2249096.42342719,0,5806384.97080743,35016420.4110921,219523785.40324,11474848.4985479,85119829.5738966,0.0673127353786329,10546975.1920297,5253805.55711063,5447175.94632492,156686177.328899,95953678.2779819,82540237.188945,13413441.0890369,0,252639855.606881,0,252639855.606881,95953678.2779819,5771947.359151,9225752.07512076,2249096.42342719,8246028.58313699,2474081.22398598
"2023_ODD_202",141184.432954067,507991.029254256,0,2531332.84226657,7336391.78211567,46367136.8818712,2353073.88256779,16846526.4542262,0.0657635440245515,2250275.16929917,1326067.79619803,1129114.06710386,34217668.8114478,19089822.5850877,15810871.9887194,3278950.59636827,0,53307491.3965355,0,53307491.3965355,19089822.5850877,2521778.345228,1845082.85331353,507991.029254256,3007695.79634496,485917.451116964
"2023_Onerous_202",247585.942733341,1141312.44918767,0,13091880.373266,13629906.7220122,90635055.3500004,4126432.37888901,30420831.7191942,0.0602026034581553,4166345.12821508,3135886.15302852,2419261.348341,69205397.9212204,34317367.62861,26326566.0950637,7990801.53354631,0,103522765.54983,0,103522765.54983,34317367.62861,13031113.0850555,2985119.92970134,1141312.44918767,13994456.3772863,963343.292230808
"2023_Remaining_202",41871.0269396363,185417.594927956,0,908706.47478308,2263416.76137912,15093413.0716943,697850.448993938,5217957.50496551,0.0626867605244968,711902.861055521,488493.920359948,342440.435686608,11356510.6108382,5877045.52430634,4645168.79354928,1231876.73075706,0,17233556.1351445,0,17233556.1351445,5877045.52430634,905034.68154222,512432.854065981,185417.594927956,1062171.80122752,157137.119685302
"2024_Non-onerous_202",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024_odd_202",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024_Onerous_202",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024_Remaining_202",0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025_NB_Non-onerous_202",989553.437410329,6056039.96218185,0,10457624.8757867,41685323.8043842,265181669.900679,16492557.2901722,102321265.941684,0.0655900970838724,12245710.9565131,6291969.48875427,6625505.71504542,186700607.270852,117904821.893575,97723831.952653,20180989.9409216,0,304605429.164426,0,304605429.164426,117904821.893575,10036590.3536941,10436517.3279903,6056039.96218185,12701263.298104,2664672.9444099
"2025_NB_Onerous_202",2613480.16118185,17260990.6413829,0,87191263.4300378,100058917.812675,636418089.554337,43558002.6863642,231563650.902781,0.0620436810113258,28436279.4465362,18042599.5493577,17660855.4501393,458326762.419936,272730580.984037,207102641.013293,65627939.9707441,0,731057343.403973,0,731057343.403973,272730580.984037,80631505.9246043,26297012.0449812,17260990.6413829,87244949.8223618,6613443.89775752
"2025_NB_Remaining_202",244587.321747615,1243165.59517888,0,3329387.43677179,7848184.97578791,48584733.124933,4076455.36246025,18762479.4890583,0.0662767260348541,2212945.81216467,1077976.40846421,1306299.2425198,33389485.9411268,22619034.4125514,18000338.8157465,4618695.59680494,0,56008520.3536782,0,56008520.3536782,22619034.4125514,3151645.00552134,2833289.76728137,1243165.59517888,3771315.2262502,619670.220728862
