"IFRS17_group_IF_RICLS_CYC","CoverageUnits","CurrRA","CurrInitExp","PVFCurrPrems","FutRIPrems","CurrRecoveries","FutRIClaims","CSM_LRecC_released","RA","BEL","PVFinRe","TotFinReIncome","TotFinReRepayment","PVRiskRI","TotPVClaims","CurrFinReIncome","CurrFinReRepayment","PVPremiums","CurrRiskRIPrems"
"2017_Non-onerous_202",50747029649.8352,2561.31737118466,0,0,0,42688.6228530777,387901.400311358,NA,25695.6377304511,NA,NA,NA,6887472.41623831,-7315733.04507916,428260.628840851,NA,911740.640160574,0,-911740.640160574
"2017_ODD_202",0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,NA,0,0,0
"2017_Onerous_202",26576318673.5474,883.894837004652,0,0,0,14731.5806167442,112145.665336929,NA,7564.75144653839,NA,NA,NA,1574749.44638884,-1700828.63716448,126079.19077564,NA,183242.104873183,0,-183242.104873183
"2017_Remaining_202",12957435955.9346,84.4815558951371,0,0,0,1408.02593158562,14297.8685338614,NA,937.762299169524,NA,NA,NA,897315.905672942,-912945.277325767,15629.3716528254,NA,99249.716415685,0,-99249.716415685
"2018_Non-onerous_202",458969714929.17,33296.3762689855,0,0,0,554939.604483092,5010926.76351519,NA,332127.741243521,NA,NA,NA,55228293.2932688,-60763755.6473275,5535462.35405869,NA,7394088.01994343,0,-7394088.01994343
"2018_ODD_202",337680045.629939,50.136393327572,0,0,0,835.606555459533,4590.08708129528,NA,322.842083656853,NA,NA,NA,16692.9539995102,-22073.6553937911,5380.70139428088,NA,2465.54342031229,0,-2465.54342031229
"2018_Onerous_202",202392351287.705,6502.63099410136,0,0,0,108377.183235023,723420.442100349,NA,49557.2512201784,NA,NA,NA,12371790.987374,-13197745.174377,825954.187002973,NA,1478728.52913677,0,-1478728.52913677
"2018_Remaining_202",60575787873.0006,1250.17633897548,0,0,0,20836.2723162579,168831.021322991,NA,11313.3924422528,NA,NA,NA,4543473.24554757,-4732029.78625178,188556.540704214,NA,544281.825528554,0,-544281.825528554
"2019_Non-onerous_202",319459114286.699,32416.1534391012,0,0,0,540269.223985019,4437876.10915319,NA,296908.946972353,NA,NA,NA,43418724.1443468,-48367206.593886,4948482.44953922,NA,6147258.29888294,0,-6147258.29888294
"2019_ODD_202",0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,NA,0,0,0
"2019_Onerous_202",612652268858.415,25100.6388684264,0,0,0,418343.981140441,3374803.06017508,NA,226219.056838757,NA,NA,NA,37160552.8394358,-40930870.4534151,3770317.61397928,NA,4484477.51651837,0,-4484477.51651837
"2019_Remaining_202",73283640798.2025,3205.13250707711,0,0,0,53418.8751179519,493718.988384598,NA,32653.6774926355,NA,NA,NA,5902805.46758142,-6447033.42579202,544227.958210592,NA,730667.832699329,0,-730667.832699329
"2020_Non-onerous_202",494236102374.465,34098.4094868369,0,0,0,568306.824780616,4499093.70709612,NA,302196.438407381,NA,NA,NA,54529411.6916773,-59566018.998467,5036607.30678968,NA,7282689.19106996,0,-7282689.19106996
"2020_ODD_202",151613662.605624,3.24957482330247,0,0,0,54.1595803883746,721.751777170852,NA,46.3766439513806,NA,NA,NA,13861.0915182244,-14634.0355840807,772.944065856344,NA,1424.55111962635,0,-1424.55111962635
"2020_Onerous_202",608076468115.611,24166.0131568174,0,0,0,402766.885946957,3020390.04071174,NA,204079.568551805,NA,NA,NA,33527486.9115275,-36928813.0540576,3401326.14253008,NA,3981520.08862924,0,-3981520.08862924
"2020_Remaining_202",77090430927.835,3836.97038398739,0,0,0,63949.5063997898,499900.272999786,NA,33620.5430981711,NA,NA,NA,6317489.16814701,-6877831.55311653,560342.384969518,NA,765308.772037062,0,-765308.772037062
"2021_Non-onerous_202",564795058736.115,50977.2832798217,0,0,0,849621.387997028,5827109.69909884,NA,397816.036448904,NA,NA,NA,59881629.680931,-66511896.9550794,6630267.2741484,NA,7594304.03220036,0,-7594304.03220036
"2021_ODD_202",0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,NA,0,0,0
"2021_Onerous_202",693958391504.726,26192.8128446191,0,0,0,436546.880743652,3059467.04305631,NA,208342.682623228,NA,NA,NA,32417041.9612056,-35889420.0049261,3472378.04372046,NA,3808129.62037124,0,-3808129.62037124
"2021_Remaining_202",93744975075.306,5938.9370930499,0,0,0,98982.2848841651,753900.230156699,NA,50851.4934508757,NA,NA,NA,5877491.4066006,-6725016.29744853,847524.890847928,NA,695567.270741791,0,-695567.270741791
"2022_Non-onerous_202",621149903257.462,47071.057893596,0,0,0,784517.631559934,6260669.32311606,NA,420128.06690818,NA,NA,NA,58140192.7090933,-65142327.157563,7002134.44846967,NA,7226261.10571107,0,-7226261.10571107
"2022_ODD_202",182996918.514253,3.70098676736939,0,0,0,61.6831127894899,563.43924145295,NA,37.307571377999,NA,NA,NA,4155.89446952727,-4777.68732582725,621.792856299983,NA,462.554770316756,0,-462.554770316756
"2022_Onerous_202",708109556681.17,18677.2149957,0,0,0,311286.916595001,2593433.36071246,NA,173262.719740613,NA,NA,NA,30178924.2153646,-33066636.2110415,2887711.99567689,NA,3557549.75018543,0,-3557549.75018543
"2022_Remaining_202",99183923782.6878,2855.39822046301,0,0,0,47589.9703410501,456390.897151922,NA,30082.1652202444,NA,NA,NA,5664840.62003191,-6166210.04036932,501369.420337406,NA,665130.695798544,0,-665130.695798544
"2023_Non-onerous_202",465827440373.595,22387.1308767142,0,0,0,373118.847945236,2794711.41977866,NA,188855.996427745,NA,NA,NA,73241802.2331103,-76389402.1735727,3147599.94046241,NA,11702855.2819303,0,-11702855.2819303
