ProjM,NominalForwardRate,RealForwardRate
1,0.06760596181,0.02191770594
2,0.06861737627,0.02187974551
3,0.0695647944,0.02184419558
4,0.06849445546,0.02219424836
5,0.06801049557,0.02243862389
6,0.07374105786,0.02262615617
7,0.08207639901,0.02281677163
8,0.08458014716,0.02299817222
9,0.08772124397,0.02317343099
10,0.07873222751,0.0233609968
11,0.07714946419,0.02355472161
12,0.07757387301,0.02373615487
13,0.07751416437,0.02392374629
14,0.07779256239,0.02411749784
15,0.07814117889,0.02430510699
16,0.07849553946,0.02449580056
17,0.07883849714,0.0246803513
18,0.0791871975,0.02486798604
19,0.08012159712,0.02506178204
20,0.08108192586,0.02524328195
21,0.08153995695,0.02542786587
22,0.08201330898,0.02561861173
23,0.08246380434,0.0258001361
24,0.08292961813,0.02598782199
25,0.08341075852,0.02618167079
26,0.08388431323,0.02637245148
27,0.08435028057,0.02656016376
28,0.08480865727,0.02674480707
29,0.08527472251,0.02693253619
30,0.08574847955,0.02712335167
31,0.08620700381,0.02730802037
32,0.086642646,0.02748346324
33,0.08710890516,0.02767122573
34,0.08652939437,0.02786515394
35,0.08693326663,0.0280529341
36,0.08733717679,0.02824072294
37,0.08773450152,0.02842544156
38,0.08814510764,0.028616326
39,0.08855575349,0.02880721955
40,0.08894656478,0.02898888444
41,0.08935065929,0.02917671558
42,0.08976804311,0.02937071438
43,0.09017884019,0.02956164265
44,0.09056979655,0.02738090817
45,0.09096078587,0.02745859062
46,0.09135843928,0.02753759129
47,0.09176275553,0.02761791013
48,0.09217373951,0.02769954734
49,0.09256487246,0.02777723585
50,0.09297592935,0.02785887614
51,0.09339365763,0.02794183496
52,0.09379816114,0.02802216171
53,0.0942027023,0.02810249004
54,0.09460064746,0.02818150304
55,0.09501189446,0.02826315136
56,0.09540991364,0.02834216749
57,0.09502987694,0.02841986807
58,0.09539510948,0.02849757019
59,0.09577275233,0.02857790771
60,0.09616281294,0.02866088101
61,0.09654052233,0.02874122176
62,0.09692445693,0.0288228812
63,0.09729603872,0.02890190803
64,0.0976738441,0.02898225345
65,0.09805787732,0.02906391769
66,0.09842335887,0.03326108248
67,0.09880745525,0.03480575085
68,0.09919158699,0.03505513081
69,0.09954476888,0.0352844123
70,0.09992276491,0.03552979694
71,0.1003193874,0.03578726606
72,0.1006850552,0.03602463458
73,0.101063148,0.0362700627
74,0.1014536731,0.03652355376
75,0.1018318321,0.03676901165
76,0.1022162235,0.03701850831
77,0.1025882473,0.03725997109
78,0.1029665018,0.03750547193
79,0.1033571928,0.03775903757
80,0.1037231095,0.02797199646
81,0.1040890545,0.02796668606
82,0.104467437,0.02796119565
83,0.1048396474,0.02795579525
84,0.1052180927,0.02795030486
85,0.105602775,0.02794472447
86,0.1059750802,0.02793932409
87,0.1063536207,0.02793383372
88,0.106744607,0.02792816335
89,0.1071108001,0.027922853
90,0.1074894358,0.02791736265
91,0.1078805214,0.0279116923
92,0.1082405982,0.02790647198
93,0.1086131203,0.02790107165
94,0.1089980936,0.02789549133
95,0.1093644696,0.02789018102
96,0.1097432952,0.02788469072
97,0.1101345759,0.02787902041
98,0.1105196786,0.02787344011
99,0.1108986022,0.02786794983
100,0.1112713448,0.02786254956
101,0.1116503309,0.02785705929
102,0.1098363528,0.02785147902
103,0.1055187938,0.02784607877
104,0.1057481805,0.02784094854
105,0.1059936768,0.0278354583
106,0.1062472373,0.02782978806
107,0.1064927614,0.02782429783
108,0.1067382993,0.02781880761
